Date,bt_Open,bt_High,bt_Low,bt_Close,bt_Volume,bt_Market Cap,eth_Open,eth_High,eth_Low,eth_Close,eth_Volume,eth_Market Cap
30-Dec-16,972.53,972.53,934.83,961.24,187474000,15450507055,8.29,8.47,8.05,8.16,13909900,713433620
29-Dec-16,975.13,979.4,954.5,973.5,199320000,15645617392,7.54,8.53,7.54,8.28,27543800,724028107
28-Dec-16,934.83,975.92,934.83,975.92,236630000,15682769405,7.15,7.62,7.08,7.52,17453300,657011884
27-Dec-16,908.35,940.05,904.26,933.2,167308000,14994286713,7.28,7.32,7.09,7.17,8778610,626268701
26-Dec-16,896.91,913.18,896.9,907.61,123771000,14581389977,7.13,7.33,7.05,7.27,5836810,635060699
25-Dec-16,899.65,899.65,862.42,896.18,143664992,14396194094,7.26,7.34,7.14,7.18,8671840,626189631
24-Dec-16,922.18,923.48,886.34,898.82,137727008,14436754927,7.15,7.41,7.15,7.27,7626020,633871896
23-Dec-16,864.89,925.12,864.68,921.98,275564000,14807189352,7.58,7.69,7.16,7.17,19613100,624956487
22-Dec-16,834.18,875.78,834.15,864.54,200027008,13882988216,7.9,7.91,7.5,7.59,16376700,661247899
21-Dec-16,800.64,834.28,799.41,834.28,155576000,13395445163,7.66,7.94,7.66,7.91,9393550,689718972
20-Dec-16,792.25,801.34,791.5,800.88,99629296,12857473134,7.63,7.75,7.57,7.66,6313550,667309961
19-Dec-16,790.69,793.61,790.32,792.71,74886400,12725090633,7.87,7.87,7.63,7.64,5894760,665654987
18-Dec-16,791.01,794.74,788.03,790.53,60524400,12688510068,7.86,7.93,7.72,7.87,5890020,684696555
17-Dec-16,785.17,792.51,784.86,790.83,78989800,12691945028,7.86,7.9,7.52,7.88,8502620,685426528
16-Dec-16,778.96,785.03,778.96,784.91,83608200,12595490539,7.86,7.93,7.8,7.86,5178610,683575806
15-Dec-16,780.07,781.43,777.8,778.09,81580096,12484761985,8.24,8.24,7.72,7.83,13184400,680740349
14-Dec-16,780.01,782.03,776.84,781.48,75979000,12534369129,8.45,8.52,8.25,8.27,7337220,718460239
13-Dec-16,780.65,788.46,777.96,780.56,81645600,12521776922,8.52,8.53,8.35,8.42,4486190,731892846
12-Dec-16,770.04,781.92,770.04,780.09,76571000,12512497969,8.19,8.61,8.17,8.52,9119700,740255866
11-Dec-16,774.75,774.8,765.41,769.73,57313400,12344888048,8.13,8.27,8.1,8.19,5545500,711457159
10-Dec-16,773.02,777.09,772.91,774.65,53843100,12421967470,8.44,8.53,8.02,8.13,8108370,705254561
9-Dec-16,769.94,774.53,769.65,772.79,68705296,12390863077,8.17,8.67,8.05,8.45,12916300,732836297
8-Dec-16,768.08,774.7,765.95,770.81,80111904,12357837893,8.38,8.86,8.23,8.23,16042700,713877391
7-Dec-16,764.21,771.54,759.75,768.13,96426096,12313376414,7.89,8.54,7.33,8.38,22229600,726702380
6-Dec-16,758.72,765.62,758.72,764.22,116218000,12249086971,6.8,7.92,5.98,7.87,50671200,682013454
5-Dec-16,773.39,773.47,751.71,758.7,106363000,12159115875,7.41,7.64,6.66,6.82,17344500,591026579
4-Dec-16,771.64,773.87,768.16,773.87,60557900,12400766376,7.9,7.95,7.44,7.44,8450790,644685715
3-Dec-16,778.25,778.25,764.86,771.16,69547296,12355811709,7.77,8.15,7.67,7.92,12112100,685808136
2-Dec-16,757.54,781.3,757.54,777.94,127605000,12462935160,8.46,8.46,7.42,7.76,18579800,671587252
1-Dec-16,746.05,758.28,746.05,756.77,80461904,12122431239,8.6,8.65,8.36,8.45,5882340,731254342
30-Nov-16,736.28,747.93,736.27,745.69,84070800,11943536630,8.16,8.75,8.16,8.59,10626600,742664775
29-Nov-16,736.33,737.47,734.56,735.6,68511104,11780661280,8.73,8.74,7.88,8.17,17000400,706651179
28-Nov-16,732.48,738.01,732.48,735.81,61888600,11782628755,9,9.01,8.72,8.72,6046890,753971438
27-Nov-16,735.44,739.02,731.09,732.03,52601800,11720648987,9.31,9.33,8.78,9,8707660,777313922
26-Nov-16,741.51,742.21,729.63,735.38,54962700,11772895899,9.42,9.5,9.31,9.33,3505990,805474198
25-Nov-16,740.44,741.65,734.59,741.65,67807600,11871816579,9.23,9.75,9.21,9.4,7669720,811553949
24-Nov-16,744.62,746.83,733.49,740.29,85919296,11848658575,9.85,9.85,8.93,9.23,15987800,796538442
23-Nov-16,751.74,752.25,738.92,744.59,76543800,11916054235,9.92,9.96,9.76,9.84,4812310,849020680
22-Nov-16,739.64,753.87,736.53,751.35,129906000,12022735372,9.63,10.24,9.59,9.91,11284400,854053528
